Company,City,Robot_Type,Department,Tasks_Assigned,Tasks_Completed,Completion_Rate,Date,Robot_Status
Riyadh Airports,Abha,Sorting Robot,Logistics,127,120,94.5,2024-02-27,Active
Almarai,Madinah,Delivery Robot,Logistics,215,211,98.1,2024-02-07,Active
Mobily,Jeddah,Delivery Robot,Production,124,120,96.8,2024-03-07,Active
Riyadh Airports,Riyadh,Sorting Robot,IT,102,85,83.3,2024-01-19,Needs Maintenance
Mobily,Abha,Medical Assistant,Logistics,286,245,85.7,2024-04-17,Active
Dar Al Riyadh,Mecca,Medical Assistant,Customer Service,86,78,90.7,2024-05-08,Active
Alinma Bank,Riyadh,Medical Assistant,IT,122,112,91.8,2024-05-13,Active
Almarai,Mecca,Cleaning Robot,Production,300,282,94.0,2024-01-02,Needs Maintenance
Binladin Group,Jeddah,Delivery Robot,Logistics,181,157,86.7,2024-04-06,Inactive
National Water Company,Riyadh,Task Organizer,Customer Service,164,152,92.7,2024-01-20,Active
Saudi Aramco,Jeddah,Sorting Robot,Administration,123,113,91.9,2024-02-06,Active
Almarai,Dammam,Service Robot,Healthcare,31,26,83.9,2024-03-24,Active
Saudi German Hospital,Jubail,Inspection Robot,Production,286,251,87.8,2024-04-24,Needs Maintenance
Riyadh Airports,Abha,Delivery Robot,Security,269,245,91.1,2024-05-14,Needs Maintenance
Alinma Bank,Dhahran,Cleaning Robot,Customer Service,168,153,91.1,2024-03-09,Active
Saudi German Hospital,Dhahran,Cleaning Robot,Customer Service,67,63,94.0,2024-04-20,Active
Alhokair Group,Al Kharj,Task Organizer,Facility Management,237,192,81.0,2024-04-23,Active
Almarai,Jeddah,Task Organizer,Healthcare,151,135,89.4,2024-04-28,Active
National Water Company,Jubail,Cleaning Robot,Facility Management,246,214,87.0,2024-03-10,Needs Maintenance
SABIC,Dammam,Sorting Robot,Administration,168,151,89.9,2024-05-08,Active
Saudi Electricity Company,Madinah,Service Robot,Administration,58,47,81.0,2024-03-07,Under Repair
Alinma Bank,Al Kharj,Service Robot,IT,177,145,81.9,2024-02-24,Under Repair
Binladin Group,Al Kharj,Delivery Robot,Facility Management,46,38,82.6,2024-05-08,Active
Saudi Aramco,Mecca,Service Robot,Logistics,212,173,81.6,2024-03-30,Active
STC,Tabuk,Sorting Robot,Customer Service,168,143,85.1,2024-03-26,Active
Tasnee,Dhahran,Service Robot,Production,161,150,93.2,2024-03-04,Active
Tasnee,Dhahran,Task Organizer,Healthcare,300,255,85.0,2024-02-17,Active
Ma'aden,Dhahran,Cleaning Robot,Production,30,24,80.0,2024-05-04,Needs Maintenance
STC,Dammam,Medical Assistant,Facility Management,76,75,98.7,2024-02-25,Active
Saudi Red Crescent,Mecca,Sorting Robot,Logistics,158,156,98.7,2024-05-03,Active
Mobily,Madinah,Sorting Robot,Production,197,192,97.5,2024-04-11,Active
Saudi Electricity Company,Jubail,Medical Assistant,Facility Management,139,138,99.3,2024-01-29,Active
Binladin Group,Al Kharj,Sorting Robot,Administration,87,86,98.9,2024-01-13,Needs Maintenance
Riyadh Airports,Abha,Medical Assistant,Production,149,148,99.3,2024-01-08,Inactive
Tasnee,Abha,Delivery Robot,Security,223,221,99.1,2024-04-01,Active
Alhokair Group,Al Kharj,Medical Assistant,IT,129,104,80.6,2024-02-29,Needs Maintenance
Alinma Bank,Dammam,Service Robot,Logistics,76,72,94.7,2024-05-02,Active
Alinma Bank,Mecca,Service Robot,Security,107,101,94.4,2024-02-25,Inactive
Alinma Bank,Abha,Sorting Robot,IT,176,176,100.0,2024-01-16,Active
King Saud University,Jeddah,Delivery Robot,Customer Service,109,99,90.8,2024-02-10,Active
Saudi Electricity Company,Tabuk,Medical Assistant,Production,88,86,97.7,2024-03-27,Active
Tasnee,Mecca,Sorting Robot,Security,159,147,92.5,2024-02-27,Needs Maintenance
Mobily,Madinah,Service Robot,Facility Management,160,133,83.1,2024-02-03,Needs Maintenance
Riyadh Airports,Tabuk,Sorting Robot,Facility Management,49,44,89.8,2024-02-06,Inactive
Saudi Post,Mecca,Sorting Robot,IT,246,201,81.7,2024-02-17,Active
Saudi Red Crescent,Riyadh,Sorting Robot,Administration,138,131,94.9,2024-01-17,Active
King Fahd Medical City,Tabuk,Service Robot,Production,150,134,89.3,2024-04-05,Active
King Fahd Medical City,Abha,Sorting Robot,Customer Service,210,183,87.1,2024-03-27,Active
Saudi Aramco,Tabuk,Medical Assistant,Administration,138,137,99.3,2024-04-21,Needs Maintenance
King Fahd Medical City,Jubail,Delivery Robot,Production,67,64,95.5,2024-03-12,Active
National Water Company,Al Kharj,Cleaning Robot,Security,107,103,96.3,2024-03-16,Active
Ma'aden,Mecca,Task Organizer,Administration,36,29,80.6,2024-02-26,Active
STC,Abha,Delivery Robot,Healthcare,31,28,90.3,2024-05-03,Active
Saudi German Hospital,Dhahran,Delivery Robot,Logistics,167,164,98.2,2024-01-18,Under Repair
STC,Jubail,Sorting Robot,Administration,138,116,84.1,2024-01-08,Needs Maintenance
Saudi Post,Jeddah,Cleaning Robot,Customer Service,278,235,84.5,2024-03-04,Active
National Water Company,Tabuk,Cleaning Robot,IT,215,199,92.6,2024-03-04,Active
King Fahd Medical City,Al Kharj,Sorting Robot,IT,48,40,83.3,2024-04-30,Under Repair
Saudi Aramco,Jeddah,Delivery Robot,Administration,127,123,96.9,2024-02-05,Active
Saudi Electricity Company,Al Kharj,Cleaning Robot,Healthcare,125,115,92.0,2024-05-05,Active
King Saud University,Dammam,Service Robot,Administration,161,134,83.2,2024-04-26,Under Repair
Saudi Aramco,Madinah,Sorting Robot,Administration,127,120,94.5,2024-01-17,Needs Maintenance
Tasnee,Mecca,Task Organizer,Administration,46,41,89.1,2024-03-08,Active
Riyadh Airports,Jubail,Medical Assistant,Healthcare,139,122,87.8,2024-03-22,Active
Saudi Red Crescent,Abha,Service Robot,Healthcare,83,76,91.6,2024-05-17,Active
King Fahd Medical City,Madinah,Delivery Robot,Security,211,208,98.6,2024-04-23,Active
Al Rajhi Bank,Dammam,Cleaning Robot,Administration,152,135,88.8,2024-03-31,Active
Saudi Post,Dammam,Medical Assistant,Security,30,25,83.3,2024-04-26,Active
Mobily,Tabuk,Sorting Robot,Security,87,81,93.1,2024-04-15,Under Repair
Mobily,Tabuk,Inspection Robot,Administration,89,75,84.3,2024-05-10,Active
Saudi Post,Abha,Medical Assistant,Production,131,125,95.4,2024-02-07,Active
Riyadh Airports,Tabuk,Task Organizer,Production,64,62,96.9,2024-01-26,Inactive
Mobily,Madinah,Medical Assistant,IT,93,76,81.7,2024-02-18,Active
Tasnee,Jeddah,Task Organizer,Customer Service,212,199,93.9,2024-02-09,Inactive
Alhokair Group,Tabuk,Delivery Robot,Facility Management,222,212,95.5,2024-02-02,Needs Maintenance
Tasnee,Dhahran,Inspection Robot,Administration,229,187,81.7,2024-05-20,Active
Saudi Aramco,Mecca,Sorting Robot,Production,74,74,100.0,2024-02-26,Needs Maintenance
Al Rajhi Bank,Tabuk,Inspection Robot,Facility Management,63,57,90.5,2024-01-01,Active
Saudi Aramco,Jeddah,Task Organizer,Security,112,105,93.8,2024-02-15,Active
Al Rajhi Bank,Dhahran,Delivery Robot,Customer Service,163,142,87.1,2024-04-19,Active
Mobily,Jubail,Delivery Robot,Administration,275,236,85.8,2024-01-12,Active
SABIC,Mecca,Task Organizer,Administration,211,192,91.0,2024-03-27,Active
Tasnee,Jeddah,Medical Assistant,Security,34,32,94.1,2024-03-10,Active
Binladin Group,Riyadh,Inspection Robot,Security,267,229,85.8,2024-03-26,Inactive
STC,Madinah,Delivery Robot,Security,232,188,81.0,2024-04-13,Needs Maintenance
Saudi Electricity Company,Madinah,Cleaning Robot,Security,270,223,82.6,2024-04-10,Active
Binladin Group,Riyadh,Inspection Robot,Customer Service,92,77,83.7,2024-03-10,Active
Alinma Bank,Al Kharj,Task Organizer,Production,147,118,80.3,2024-05-03,Active
Saudi Aramco,Al Kharj,Medical Assistant,Administration,63,52,82.5,2024-03-19,Active
National Water Company,Abha,Sorting Robot,Security,63,54,85.7,2024-05-13,Active
National Water Company,Riyadh,Sorting Robot,Production,244,236,96.7,2024-02-25,Active
King Saud University,Abha,Delivery Robot,Production,155,132,85.2,2024-01-12,Active
Tasnee,Dhahran,Service Robot,Logistics,229,214,93.4,2024-01-03,Active
National Water Company,Jeddah,Medical Assistant,Production,110,107,97.3,2024-03-29,Active
Al Rajhi Bank,Jubail,Delivery Robot,Security,142,122,85.9,2024-04-13,Active
Al Rajhi Bank,Al Kharj,Sorting Robot,Facility Management,145,122,84.1,2024-04-21,Active
Saudi Electricity Company,Jubail,Cleaning Robot,Facility Management,153,147,96.1,2024-04-17,Needs Maintenance
Saudi Electricity Company,Al Kharj,Service Robot,IT,34,32,94.1,2024-02-05,Active
National Water Company,Dhahran,Service Robot,Administration,144,118,81.9,2024-01-04,Active
SABIC,Jeddah,Sorting Robot,Healthcare,245,196,80.0,2024-05-16,Needs Maintenance
Tasnee,Jubail,Sorting Robot,Healthcare,104,103,99.0,2024-02-24,Active
Saudi Red Crescent,Jubail,Medical Assistant,Production,87,82,94.3,2024-02-24,Active
King Saud University,Dammam,Service Robot,Healthcare,39,34,87.2,2024-05-13,Active
Al Rajhi Bank,Jeddah,Service Robot,Facility Management,148,143,96.6,2024-03-04,Needs Maintenance
Al Rajhi Bank,Dammam,Delivery Robot,Logistics,50,41,82.0,2024-03-02,Inactive
Alinma Bank,Jeddah,Service Robot,Customer Service,58,55,94.8,2024-01-04,Active
Riyadh Airports,Tabuk,Cleaning Robot,Healthcare,48,48,100.0,2024-05-11,Active
Saudi German Hospital,Madinah,Medical Assistant,Customer Service,208,177,85.1,2024-02-26,Needs Maintenance
National Water Company,Mecca,Inspection Robot,Healthcare,174,165,94.8,2024-03-24,Active
King Fahd Medical City,Al Kharj,Task Organizer,Customer Service,78,66,84.6,2024-01-04,Active
Ma'aden,Dammam,Service Robot,Administration,210,178,84.8,2024-02-29,Needs Maintenance
Dar Al Riyadh,Dammam,Task Organizer,Administration,66,65,98.5,2024-04-13,Under Repair
Al Rajhi Bank,Mecca,Task Organizer,Facility Management,230,215,93.5,2024-04-10,Inactive
STC,Dhahran,Cleaning Robot,Logistics,211,210,99.5,2024-03-14,Active
STC,Jubail,Service Robot,Administration,190,189,99.5,2024-01-24,Active
STC,Riyadh,Sorting Robot,IT,202,170,84.2,2024-03-21,Active
Saudi Post,Mecca,Service Robot,Logistics,165,145,87.9,2024-05-13,Active
Dar Al Riyadh,Jeddah,Sorting Robot,Security,92,86,93.5,2024-02-01,Under Repair
King Saud University,Jubail,Service Robot,Security,300,266,88.7,2024-03-22,Needs Maintenance
Tasnee,Abha,Delivery Robot,Production,281,273,97.2,2024-03-30,Inactive
King Fahd Medical City,Madinah,Inspection Robot,Production,232,226,97.4,2024-03-14,Active
Saudi German Hospital,Dammam,Cleaning Robot,Healthcare,267,216,80.9,2024-03-27,Active
Saudi Post,Tabuk,Service Robot,Security,60,49,81.7,2024-05-20,Active
Mobily,Riyadh,Service Robot,Facility Management,117,103,88.0,2024-05-04,Active
Saudi Post,Dammam,Medical Assistant,Security,278,226,81.3,2024-01-06,Active
Al Rajhi Bank,Al Kharj,Service Robot,Facility Management,73,59,80.8,2024-04-08,Active
Saudi Aramco,Jubail,Task Organizer,Healthcare,96,93,96.9,2024-02-19,Active
Mobily,Tabuk,Delivery Robot,IT,77,65,84.4,2024-02-22,Active
King Saud University,Dammam,Delivery Robot,Facility Management,66,60,90.9,2024-04-07,Inactive
King Saud University,Madinah,Service Robot,Administration,296,248,83.8,2024-04-19,Active
SABIC,Madinah,Medical Assistant,Production,278,264,95.0,2024-04-03,Active
Dar Al Riyadh,Abha,Cleaning Robot,IT,238,197,82.8,2024-02-23,Needs Maintenance
Almarai,Jubail,Task Organizer,Customer Service,116,98,84.5,2024-03-14,Active
SABIC,Tabuk,Inspection Robot,Production,157,130,82.8,2024-04-19,Active
Al Rajhi Bank,Riyadh,Sorting Robot,Healthcare,219,216,98.6,2024-02-03,Active
Saudi Electricity Company,Tabuk,Medical Assistant,Customer Service,109,94,86.2,2024-04-25,Active
King Saud University,Abha,Inspection Robot,Facility Management,241,238,98.8,2024-02-22,Active
STC,Abha,Task Organizer,Healthcare,180,173,96.1,2024-04-01,Active
Al Rajhi Bank,Mecca,Medical Assistant,Logistics,264,253,95.8,2024-04-13,Active
King Fahd Medical City,Jubail,Task Organizer,IT,183,166,90.7,2024-03-21,Active
King Fahd Medical City,Mecca,Service Robot,Logistics,108,95,88.0,2024-05-17,Inactive
Dar Al Riyadh,Mecca,Sorting Robot,Healthcare,150,129,86.0,2024-05-09,Active
Dar Al Riyadh,Mecca,Cleaning Robot,Logistics,90,87,96.7,2024-05-20,Needs Maintenance
Dar Al Riyadh,Dammam,Service Robot,Logistics,92,85,92.4,2024-04-18,Active
SABIC,Jubail,Sorting Robot,Production,137,133,97.1,2024-02-07,Active
Binladin Group,Riyadh,Medical Assistant,Logistics,162,156,96.3,2024-03-09,Active
Saudi Aramco,Dhahran,Delivery Robot,Healthcare,228,205,89.9,2024-04-04,Active
Saudi Red Crescent,Jubail,Sorting Robot,Healthcare,107,95,88.8,2024-02-20,Active
SABIC,Riyadh,Service Robot,Administration,58,49,84.5,2024-02-17,Active
Almarai,Abha,Sorting Robot,Healthcare,89,86,96.6,2024-02-26,Active
SABIC,Riyadh,Cleaning Robot,Security,140,125,89.3,2024-05-08,Inactive
Almarai,Tabuk,Task Organizer,Healthcare,268,221,82.5,2024-03-08,Under Repair
Binladin Group,Riyadh,Service Robot,Facility Management,112,102,91.1,2024-04-25,Active
Saudi Electricity Company,Dammam,Cleaning Robot,Logistics,279,234,83.9,2024-01-21,Active
Riyadh Airports,Madinah,Sorting Robot,Healthcare,80,65,81.2,2024-01-07,Inactive
Alinma Bank,Mecca,Delivery Robot,Production,268,226,84.3,2024-05-01,Active
Alhokair Group,Jubail,Delivery Robot,Administration,144,141,97.9,2024-01-31,Active
Tasnee,Mecca,Medical Assistant,Production,76,63,82.9,2024-02-29,Active
Ma'aden,Abha,Cleaning Robot,Logistics,58,56,96.6,2024-05-17,Inactive
King Saud University,Dammam,Service Robot,Facility Management,125,114,91.2,2024-03-05,Active
Saudi Electricity Company,Mecca,Cleaning Robot,IT,287,240,83.6,2024-04-26,Needs Maintenance
Mobily,Abha,Sorting Robot,Production,248,234,94.4,2024-05-03,Inactive
Alinma Bank,Tabuk,Sorting Robot,Customer Service,56,56,100.0,2024-02-22,Needs Maintenance
Riyadh Airports,Abha,Service Robot,IT,146,138,94.5,2024-05-19,Active
Riyadh Airports,Jubail,Service Robot,Production,119,96,80.7,2024-02-06,Active
Al Rajhi Bank,Madinah,Delivery Robot,Healthcare,295,254,86.1,2024-03-29,Active
Saudi Post,Al Kharj,Service Robot,IT,182,176,96.7,2024-03-30,Active
Alhokair Group,Dhahran,Service Robot,Administration,44,44,100.0,2024-03-20,Active
Tasnee,Jeddah,Cleaning Robot,Logistics,83,77,92.8,2024-02-08,Active
STC,Dhahran,Sorting Robot,Security,69,66,95.7,2024-03-28,Under Repair
Alhokair Group,Abha,Medical Assistant,IT,284,239,84.2,2024-01-05,Active
Ma'aden,Riyadh,Service Robot,Logistics,38,36,94.7,2024-01-26,Active
Al Rajhi Bank,Jeddah,Cleaning Robot,Administration,184,168,91.3,2024-02-27,Active
Mobily,Mecca,Cleaning Robot,Customer Service,237,237,100.0,2024-04-16,Active
Saudi Red Crescent,Abha,Medical Assistant,Healthcare,71,64,90.1,2024-03-22,Active
Binladin Group,Mecca,Inspection Robot,Administration,194,157,80.9,2024-02-03,Active
Ma'aden,Jubail,Sorting Robot,Facility Management,249,222,89.2,2024-03-20,Active
Riyadh Airports,Tabuk,Cleaning Robot,IT,233,230,98.7,2024-04-13,Inactive
King Saud University,Dammam,Task Organizer,Facility Management,162,140,86.4,2024-01-29,Active
Alinma Bank,Al Kharj,Task Organizer,Production,218,189,86.7,2024-03-08,Active
Ma'aden,Riyadh,Service Robot,Security,190,167,87.9,2024-04-25,Active
Binladin Group,Jubail,Task Organizer,Logistics,279,270,96.8,2024-03-18,Needs Maintenance
Alhokair Group,Tabuk,Cleaning Robot,Administration,98,98,100.0,2024-01-16,Active
Ma'aden,Dhahran,Cleaning Robot,Administration,75,72,96.0,2024-03-23,Active
Saudi Electricity Company,Tabuk,Service Robot,Security,234,207,88.5,2024-01-20,Active
Saudi Post,Abha,Sorting Robot,Administration,194,193,99.5,2024-01-19,Needs Maintenance
Saudi Electricity Company,Madinah,Medical Assistant,IT,157,140,89.2,2024-02-05,Needs Maintenance
STC,Abha,Task Organizer,Customer Service,168,145,86.3,2024-03-05,Active
Binladin Group,Abha,Service Robot,IT,293,266,90.8,2024-04-02,Needs Maintenance
Saudi Post,Riyadh,Service Robot,IT,81,65,80.2,2024-04-11,Active
Ma'aden,Riyadh,Medical Assistant,Administration,192,189,98.4,2024-03-07,Active
Saudi German Hospital,Jeddah,Service Robot,Security,44,37,84.1,2024-02-25,Active
National Water Company,Jeddah,Medical Assistant,Administration,241,195,80.9,2024-04-05,Active
Al Rajhi Bank,Jubail,Sorting Robot,Security,52,49,94.2,2024-04-07,Active
Almarai,Mecca,Delivery Robot,Customer Service,292,270,92.5,2024-04-26,Active
King Saud University,Jubail,Sorting Robot,Customer Service,229,191,83.4,2024-05-18,Active
SABIC,Riyadh,Inspection Robot,IT,212,178,84.0,2024-04-04,Active
King Saud University,Dhahran,Cleaning Robot,Customer Service,292,287,98.3,2024-03-18,Active
Saudi Red Crescent,Dammam,Inspection Robot,Security,296,250,84.5,2024-04-23,Active
Saudi Aramco,Riyadh,Service Robot,Logistics,278,224,80.6,2024-01-24,Under Repair
Alinma Bank,Al Kharj,Delivery Robot,Logistics,161,139,86.3,2024-04-05,Needs Maintenance
Dar Al Riyadh,Dammam,Inspection Robot,Security,36,33,91.7,2024-02-27,Active
SABIC,Tabuk,Sorting Robot,IT,166,153,92.2,2024-05-09,Active
Ma'aden,Jubail,Delivery Robot,Production,256,241,94.1,2024-05-04,Active
Saudi German Hospital,Dhahran,Medical Assistant,Healthcare,219,184,84.0,2024-04-15,Active
Saudi German Hospital,Mecca,Sorting Robot,IT,67,54,80.6,2024-04-12,Active
Tasnee,Riyadh,Task Organizer,Administration,57,57,100.0,2024-02-03,Needs Maintenance
Mobily,Al Kharj,Medical Assistant,Customer Service,112,98,87.5,2024-03-23,Active
Tasnee,Al Kharj,Cleaning Robot,IT,107,94,87.9,2024-05-18,Active
Alinma Bank,Tabuk,Service Robot,Administration,155,154,99.4,2024-04-17,Needs Maintenance
King Saud University,Al Kharj,Cleaning Robot,Logistics,86,86,100.0,2024-02-28,Active
STC,Riyadh,Inspection Robot,Facility Management,197,172,87.3,2024-04-27,Active
Alinma Bank,Jubail,Service Robot,Facility Management,160,155,96.9,2024-04-13,Active
Al Rajhi Bank,Abha,Cleaning Robot,Administration,73,63,86.3,2024-01-18,Inactive
Mobily,Mecca,Inspection Robot,Logistics,267,225,84.3,2024-05-12,Active
Saudi Post,Al Kharj,Inspection Robot,Customer Service,100,87,87.0,2024-01-11,Active
Saudi Aramco,Jeddah,Medical Assistant,Logistics,200,177,88.5,2024-04-28,Active
Saudi Aramco,Abha,Medical Assistant,Healthcare,33,31,93.9,2024-04-04,Active
Al Rajhi Bank,Abha,Inspection Robot,Logistics,99,98,99.0,2024-05-16,Needs Maintenance
National Water Company,Al Kharj,Service Robot,Logistics,288,286,99.3,2024-03-09,Active
STC,Madinah,Task Organizer,Administration,73,70,95.9,2024-03-04,Active
King Fahd Medical City,Riyadh,Inspection Robot,Security,200,166,83.0,2024-03-30,Active
Saudi Aramco,Riyadh,Inspection Robot,IT,153,131,85.6,2024-04-08,Active
Saudi Electricity Company,Dammam,Delivery Robot,Healthcare,220,196,89.1,2024-04-25,Active
Saudi Red Crescent,Abha,Sorting Robot,Logistics,54,50,92.6,2024-05-14,Active
Riyadh Airports,Abha,Task Organizer,Customer Service,297,295,99.3,2024-01-22,Active
SABIC,Madinah,Task Organizer,Administration,211,200,94.8,2024-01-18,Active
King Fahd Medical City,Madinah,Service Robot,Security,108,98,90.7,2024-01-12,Active
Almarai,Mecca,Delivery Robot,Administration,68,61,89.7,2024-01-19,Active
King Fahd Medical City,Abha,Medical Assistant,Healthcare,69,59,85.5,2024-01-05,Active
SABIC,Al Kharj,Inspection Robot,Logistics,40,36,90.0,2024-02-05,Under Repair
Saudi Red Crescent,Abha,Task Organizer,Production,48,43,89.6,2024-05-16,Active
Saudi Aramco,Abha,Service Robot,Customer Service,239,223,93.3,2024-02-14,Active
Alinma Bank,Dhahran,Medical Assistant,Production,217,197,90.8,2024-03-31,Active
Saudi Electricity Company,Madinah,Task Organizer,Logistics,173,158,91.3,2024-02-26,Needs Maintenance
Alhokair Group,Dhahran,Service Robot,Healthcare,254,242,95.3,2024-02-18,Active
Al Rajhi Bank,Mecca,Medical Assistant,Administration,169,156,92.3,2024-01-15,Active
Alinma Bank,Tabuk,Medical Assistant,Security,49,41,83.7,2024-04-29,Needs Maintenance
Almarai,Abha,Task Organizer,Logistics,55,54,98.2,2024-02-20,Active
Al Rajhi Bank,Jubail,Cleaning Robot,Logistics,271,266,98.2,2024-05-19,Inactive
Saudi Post,Jeddah,Service Robot,Facility Management,288,255,88.5,2024-01-09,Needs Maintenance
Alhokair Group,Tabuk,Inspection Robot,Administration,174,156,89.7,2024-01-02,Active
Saudi Post,Madinah,Cleaning Robot,IT,120,107,89.2,2024-04-20,Active
Saudi Electricity Company,Jubail,Cleaning Robot,Facility Management,282,277,98.2,2024-03-03,Active
Al Rajhi Bank,Mecca,Cleaning Robot,IT,275,220,80.0,2024-02-27,Active
Mobily,Jubail,Cleaning Robot,IT,164,145,88.4,2024-02-12,Under Repair
Tasnee,Jeddah,Medical Assistant,Customer Service,210,182,86.7,2024-02-25,Active
Riyadh Airports,Abha,Medical Assistant,Administration,115,97,84.3,2024-03-27,Active
Tasnee,Madinah,Task Organizer,Healthcare,183,180,98.4,2024-03-28,Needs Maintenance
Saudi Post,Al Kharj,Delivery Robot,Logistics,92,84,91.3,2024-01-21,Active
Saudi German Hospital,Dhahran,Inspection Robot,Customer Service,292,269,92.1,2024-05-16,Active
King Saud University,Dammam,Cleaning Robot,Facility Management,172,152,88.4,2024-04-10,Active
Saudi German Hospital,Madinah,Medical Assistant,Administration,84,84,100.0,2024-03-14,Inactive
King Fahd Medical City,Abha,Service Robot,Customer Service,62,52,83.9,2024-02-04,Active
Dar Al Riyadh,Al Kharj,Medical Assistant,IT,88,83,94.3,2024-04-01,Active
King Saud University,Al Kharj,Cleaning Robot,IT,145,127,87.6,2024-01-24,Active
Tasnee,Abha,Delivery Robot,Healthcare,183,164,89.6,2024-04-17,Under Repair
National Water Company,Riyadh,Medical Assistant,Facility Management,107,99,92.5,2024-03-04,Active
King Fahd Medical City,Riyadh,Inspection Robot,Logistics,118,99,83.9,2024-05-16,Active
Tasnee,Abha,Service Robot,Security,179,146,81.6,2024-01-12,Active
STC,Tabuk,Delivery Robot,Customer Service,120,96,80.0,2024-05-14,Active
Dar Al Riyadh,Jubail,Inspection Robot,Administration,85,73,85.9,2024-05-07,Active
Saudi German Hospital,Abha,Cleaning Robot,Healthcare,240,239,99.6,2024-01-07,Inactive
King Saud University,Dammam,Sorting Robot,Security,130,126,96.9,2024-04-10,Active
Ma'aden,Mecca,Medical Assistant,Customer Service,128,113,88.3,2024-04-13,Under Repair
King Fahd Medical City,Madinah,Medical Assistant,Security,195,167,85.6,2024-04-27,Active
STC,Jeddah,Medical Assistant,Administration,44,44,100.0,2024-03-04,Active
Mobily,Riyadh,Task Organizer,Customer Service,104,92,88.5,2024-05-04,Active
National Water Company,Abha,Sorting Robot,Production,103,99,96.1,2024-05-18,Active
Ma'aden,Abha,Inspection Robot,Facility Management,136,114,83.8,2024-01-11,Active
Saudi German Hospital,Abha,Service Robot,Healthcare,175,154,88.0,2024-05-07,Active
SABIC,Riyadh,Inspection Robot,Customer Service,300,283,94.3,2024-02-05,Active
King Fahd Medical City,Jubail,Sorting Robot,Facility Management,38,38,100.0,2024-04-14,Active
National Water Company,Jeddah,Medical Assistant,Production,254,230,90.6,2024-03-02,Active
Tasnee,Tabuk,Task Organizer,Security,233,195,83.7,2024-02-06,Active
Ma'aden,Madinah,Task Organizer,Healthcare,117,115,98.3,2024-05-06,Active
Riyadh Airports,Jeddah,Cleaning Robot,Logistics,213,180,84.5,2024-03-08,Active
Almarai,Tabuk,Service Robot,Production,263,211,80.2,2024-02-09,Under Repair
STC,Al Kharj,Task Organizer,Security,91,84,92.3,2024-04-06,Active
STC,Abha,Inspection Robot,Facility Management,116,98,84.5,2024-04-18,Active
Al Rajhi Bank,Al Kharj,Cleaning Robot,Logistics,282,278,98.6,2024-04-20,Under Repair
National Water Company,Jubail,Cleaning Robot,Administration,93,82,88.2,2024-03-12,Active
Saudi Post,Riyadh,Service Robot,Administration,80,65,81.2,2024-05-06,Active
Riyadh Airports,Riyadh,Inspection Robot,Logistics,121,116,95.9,2024-02-01,Active
Alhokair Group,Madinah,Cleaning Robot,Administration,52,44,84.6,2024-04-21,Under Repair
Saudi Aramco,Tabuk,Inspection Robot,Administration,170,141,82.9,2024-03-21,Active
National Water Company,Tabuk,Cleaning Robot,Facility Management,299,285,95.3,2024-03-09,Active
King Saud University,Mecca,Sorting Robot,Customer Service,122,118,96.7,2024-02-15,Active
Saudi Red Crescent,Riyadh,Task Organizer,Administration,76,73,96.1,2024-02-16,Active
Saudi Electricity Company,Jubail,Task Organizer,Administration,294,269,91.5,2024-02-13,Active
National Water Company,Mecca,Sorting Robot,Customer Service,273,265,97.1,2024-03-09,Active
Binladin Group,Jeddah,Sorting Robot,Facility Management,106,106,100.0,2024-04-21,Active
STC,Mecca,Sorting Robot,Logistics,208,182,87.5,2024-04-05,Active
Saudi Aramco,Jubail,Service Robot,Customer Service,46,37,80.4,2024-03-05,Active
Saudi Aramco,Madinah,Sorting Robot,Logistics,193,155,80.3,2024-02-12,Active
Almarai,Jeddah,Sorting Robot,Healthcare,266,222,83.5,2024-01-27,Active
Ma'aden,Madinah,Inspection Robot,Logistics,143,135,94.4,2024-02-12,Under Repair
Almarai,Dhahran,Inspection Robot,Customer Service,256,206,80.5,2024-05-01,Active
Saudi Aramco,Tabuk,Delivery Robot,Facility Management,117,117,100.0,2024-03-15,Active
Saudi Red Crescent,Abha,Medical Assistant,Facility Management,184,155,84.2,2024-02-01,Active
King Fahd Medical City,Al Kharj,Medical Assistant,Administration,176,165,93.8,2024-02-06,Active
Saudi Electricity Company,Jubail,Service Robot,Administration,163,147,90.2,2024-01-18,Under Repair
Saudi Red Crescent,Riyadh,Sorting Robot,Security,66,54,81.8,2024-05-14,Active
Saudi Electricity Company,Mecca,Sorting Robot,IT,191,188,98.4,2024-04-09,Active
King Saud University,Madinah,Sorting Robot,Production,44,38,86.4,2024-03-20,Active
STC,Riyadh,Task Organizer,Facility Management,60,55,91.7,2024-05-04,Active
Binladin Group,Madinah,Cleaning Robot,Production,32,31,96.9,2024-04-30,Active
Almarai,Madinah,Inspection Robot,Administration,119,103,86.6,2024-03-22,Active
Tasnee,Jeddah,Inspection Robot,Healthcare,164,140,85.4,2024-03-23,Active
Dar Al Riyadh,Riyadh,Task Organizer,Facility Management,128,112,87.5,2024-03-29,Active
Saudi Post,Al Kharj,Delivery Robot,Customer Service,124,112,90.3,2024-02-27,Active
Riyadh Airports,Jeddah,Inspection Robot,IT,285,283,99.3,2024-03-20,Active
Tasnee,Jeddah,Inspection Robot,Administration,245,210,85.7,2024-04-11,Under Repair
Riyadh Airports,Abha,Inspection Robot,Logistics,83,83,100.0,2024-04-20,Active
